content_id,content_type,language,genre,duration,release_date,rating,episode_count,season_count
cont_4187_14_23,series,telugu,horror,2640000,2017-11-07,7,23,14
cont_4897_1_1,series,malayalam,comedy,2700000,2004-03-25,4,1,1
cont_4606_14_4,series,hindi,drama,2760000,2001-09-24,6,4,14
cont_4571_2_2,series,telugu,comedy,2880000,1992-11-18,1,2,2
cont_2650_2_4,series,hindi,drama,3180000,2016-12-25,7,4,2
cont_206_8_34,series,english,drama,3120000,2017-06-22,7,34,8
cont_1121_3_12,series,marathi,drama,5100000,2017-06-13,1,12,3
cont_1226_1_34,series,marathi,action,3060000,1999-07-12,6,34,1
cont_935_32_2,series,english,drama,3000000,2015-07-05,10,2,32
cont_2677_11_15,series,hindi,drama,3420000,2019-02-06,6,15,11
cont_480_10_16,series,hindi,drama,3240000,2006-04-14,6,16,10
cont_3363_4_13,series,hindi,drama,3480000,2003-01-10,3,13,4
cont_3454_1_7,series,punjabi,comedy,2820000,1994-06-27,8,7,1
cont_1089_6_42,series,hindi,comedy,2880000,2020-01-13,7,42,6
cont_4490_4_10,series,hindi,drama,2940000,2001-04-27,5,10,4
cont_4486_6_7,series,telugu,drama,3360000,2019-12-09,10,7,6
cont_2962_2_16,series,malayalam,drama,4560000,2008-01-03,2,16,2
cont_2233_8_27,series,hindi,drama,3060000,2004-05-24,9,27,8
cont_4550_1_29,series,english,drama,4260000,2018-04-24,7,29,1
cont_4444_14_24,series,hindi,action,3000000,2016-08-22,5,24,14
cont_1399_30_6,series,english,drama,4560000,2006-12-21,8,6,30
cont_2136_7_11,series,english,action,3300000,2017-11-26,1,11,7
cont_3352_19_22,series,english,drama,2940000,2014-11-07,2,22,19
cont_944_20_10,series,english,action,3300000,2013-08-01,4,10,20
cont_3386_8_34,series,malayalam,comedy,4080000,2018-06-02,7,34,8
cont_4601_1_1,series,hindi,drama,2820000,1994-03-27,6,1,1
cont_2707_11_30,series,hindi,comedy,3600000,2020-11-09,4,30,11
cont_1466_12_25,series,malayalam,drama,2700000,2014-12-29,1,25,12
cont_2083_34_19,series,hindi,drama,2400000,2019-08-28,4,19,34
cont_498_1_20,series,marathi,drama,4920000,2000-11-12,9,20,1
cont_426_14_18,series,telugu,comedy,2940000,2014-07-23,4,18,14
cont_4218_3_30,series,hindi,drama,3060000,2011-12-10,6,30,3
cont_4027_8_9,series,malayalam,drama,3540000,2017-04-29,1,9,8
cont_2573_4_17,series,hindi,drama,3180000,2013-04-09,5,17,4
cont_128_3_2,series,hindi,drama,3780000,1996-03-22,9,2,3
cont_1187_2_43,series,hindi,drama,2760000,2020-11-24,6,43,2
cont_2870_3_17,series,telugu,drama,3300000,2007-11-09,1,17,3
cont_2453_10_29,series,hindi,action,2880000,2011-03-08,6,29,10
cont_4393_4_10,series,gujarati,drama,3540000,1997-02-10,7,10,4
cont_2485_10_12,series,hindi,drama,2940000,2012-09-26,6,12,10
cont_4121_2_22,series,english,drama,2820000,2009-08-19,2,22,2
cont_2747_2_11,series,hindi,comedy,3600000,2002-10-11,8,11,2
cont_4577_5_27,series,hindi,drama,3840000,2007-03-18,1,27,5
cont_1499_13_29,series,tamil,action,3000000,2018-07-07,2,29,13
cont_4654_4_7,series,gujarati,comedy,2640000,2000-11-06,3,7,4
cont_4857_1_13,series,tamil,comedy,3180000,1994-08-24,8,13,1
cont_4445_3_1,series,kannada,action,4620000,1996-10-23,4,1,3
cont_960_21_17,series,malayalam,comedy,4620000,2013-07-15,5,17,21
cont_839_1_16,series,hindi,comedy,3120000,1998-09-23,2,16,1
cont_1179_2_17,series,marathi,drama,3480000,1998-09-04,7,17,2
cont_4246_7_39,series,hindi,drama,3300000,2003-05-14,2,39,7
cont_4148_7_10,series,hindi,drama,4440000,1997-10-26,9,10,7
cont_1711_1_22,series,telugu,action,3420000,1993-08-03,6,22,1
cont_553_28_23,series,gujarati,documentary,3420000,2017-08-10,8,23,28
cont_117_6_1,series,hindi,comedy,4080000,2007-11-12,2,1,6
cont_34_2_26,series,kannada,action,2880000,2019-03-16,7,26,2
cont_2310_11_7,series,hindi,comedy,4680000,2010-01-20,4,7,11
cont_2715_2_24,series,hindi,action,2580000,2004-04-06,4,24,2
cont_3071_5_2,series,malayalam,drama,3120000,2004-05-04,1,2,5
cont_292_8_13,series,hindi,drama,2460000,2019-11-11,7,13,8
cont_1154_2_9,series,malayalam,documentary,3000000,2011-11-04,1,9,2
cont_1785_22_1,series,marathi,drama,4380000,2018-06-28,10,1,22
cont_1701_5_13,series,english,drama,3180000,2018-07-24,6,13,5
cont_3193_6_44,series,english,action,3660000,2018-05-11,5,44,6
cont_4427_5_28,series,hindi,action,5400000,2011-09-08,2,28,5
cont_673_4_19,series,punjabi,comedy,3600000,2005-06-22,2,19,4
cont_4759_1_3,sports,english,cricket,7740000,1998-09-10,0,3,1
cont_848_2_26,series,english,drama,3540000,2012-09-29,1,26,2
cont_1466_12_27,series,malayalam,drama,2820000,2015-01-22,1,27,12
cont_2730_2_45,series,hindi,action,3540000,2009-05-23,7,45,2
cont_894_7_16,series,gujarati,comedy,3180000,2019-08-18,2,16,7
cont_2588_3_16,series,kannada,drama,3000000,2010-06-08,9,16,3
cont_330_15_2,series,hindi,drama,3840000,1995-04-15,9,2,15
cont_2911_19_4,series,hindi,drama,3540000,2016-06-17,10,4,19
cont_4472_2_18,series,english,drama,3120000,2013-04-21,3,18,2
cont_2417_12_28,series,hindi,comedy,2760000,2013-06-09,6,28,12
cont_4328_6_10,series,hindi,drama,3360000,2016-12-25,2,10,6
cont_717_8_28,series,malayalam,drama,5340000,2011-10-19,10,28,8
cont_2185_14_10,series,english,drama,2880000,2015-03-11,4,10,14
cont_1077_2_5,series,english,comedy,3180000,2010-02-20,3,5,2
cont_696_4_4,series,gujarati,sci-fi,2580000,2014-08-19,6,4,4
cont_1452_2_19,series,english,documentary,5220000,2006-05-09,10,19,2
cont_4754_1_31,series,hindi,drama,3780000,1998-01-16,7,31,1
cont_3386_6_33,series,malayalam,comedy,4020000,2014-06-11,7,33,6
cont_4652_6_2,series,gujarati,comedy,4320000,2010-12-25,8,2,6
cont_2024_1_6,series,hindi,drama,4680000,2014-07-07,6,6,1
cont_1827_5_20,series,hindi,action,2760000,2018-09-29,5,20,5
cont_3229_3_9,series,telugu,drama,2880000,2004-04-17,8,9,3
cont_4717_4_2,series,marathi,horror,2580000,2009-01-17,5,2,4
cont_2715_4_59,series,hindi,action,2640000,2009-05-10,4,59,4
cont_4016_1_7,sports,english,football,4800000,2015-12-04,0,7,1
cont_4435_4_4,series,english,drama,3060000,1997-04-24,8,4,4
cont_710_4_13,series,hindi,drama,2940000,2006-11-24,6,13,4
cont_661_4_34,series,hindi,drama,2820000,2000-06-04,6,34,4
cont_2911_3_14,series,hindi,drama,3300000,2001-07-18,10,14,3
cont_1587_4_7,series,telugu,comedy,4560000,2003-09-16,7,7,4
cont_4550_1_39,series,english,drama,4740000,2018-08-22,7,39,1
cont_4003_35_6,series,malayalam,drama,3180000,2013-10-24,5,6,35
cont_4039_6_21,series,hindi,drama,3060000,1996-01-02,3,21,6
cont_1795_6_22,series,hindi,comedy,2820000,2019-11-09,4,22,6
cont_4248_2_25,series,hindi,drama,3720000,2013-06-21,3,25,2
cont_2298_3_11,series,hindi,comedy,3660000,1995-05-11,5,11,3
cont_4027_4_23,series,malayalam,drama,3240000,2014-05-15,1,23,4
cont_81_5_6,series,kannada,drama,3300000,2003-01-20,3,6,5
cont_808_12_29,series,malayalam,drama,4320000,2012-05-29,9,29,12
cont_4524_4_8,series,hindi,drama,2880000,2008-09-18,3,8,4
cont_1700_13_18,series,tamil,drama,3060000,2006-11-09,8,18,13
cont_553_4_21,series,gujarati,documentary,3000000,1994-09-04,8,21,4
cont_2946_7_18,series,telugu,drama,2940000,2009-09-26,10,18,7
cont_1038_2_4,series,hindi,drama,4500000,1994-02-28,6,4,2
cont_817_30_9,series,marathi,comedy,3360000,2015-02-23,1,9,30
cont_2798_21_21,series,hindi,action,3360000,2017-11-14,5,21,21
cont_578_1_24,series,tamil,drama,3240000,1991-09-19,7,24,1
cont_335_2_22,series,hindi,drama,2880000,2010-12-08,1,22,2
cont_1704_8_14,series,tamil,drama,4080000,2016-07-30,1,14,8
cont_1226_13_12,series,marathi,action,2880000,2020-06-27,6,12,13
cont_2630_11_35,series,hindi,action,3600000,2015-11-12,6,35,11
cont_113_4_6,series,gujarati,comedy,4320000,2012-05-17,6,6,4
cont_750_9_16,series,hindi,drama,4020000,2010-06-10,5,16,9
cont_4687_6_6,series,tamil,drama,3600000,2015-11-15,7,6,6
cont_3254_5_2,series,hindi,drama,4440000,2017-11-10,1,2,5
cont_321_2_24,series,hindi,drama,3240000,2009-06-25,4,24,2
cont_1077_5_3,series,english,comedy,3420000,2013-01-11,3,3,5
cont_3257_4_38,series,tamil,drama,3240000,1999-03-05,5,38,4
cont_1618_3_5,series,english,drama,2640000,2010-09-09,5,5,3
cont_4886_6_29,series,hindi,horror,3660000,2020-03-28,4,29,6
cont_2083_13_8,series,hindi,drama,2400000,2003-06-05,4,8,13
cont_514_6_10,series,bengali,drama,3420000,2011-12-04,4,10,6
cont_1506_2_4,series,telugu,drama,3960000,2016-10-19,4,4,2
cont_3655_12_6,series,english,comedy,2580000,2008-05-09,7,6,12
cont_1777_4_15,series,hindi,comedy,4920000,2017-11-24,6,15,4
cont_185_8_6,series,hindi,drama,3240000,2006-02-08,1,6,8
cont_4499_2_7,series,english,drama,3480000,2012-10-16,3,7,2
cont_2934_1_1,sports,english,cricket,4200000,1997-08-29,0,1,1
cont_960_19_9,series,malayalam,comedy,4560000,2011-07-26,5,9,19
cont_2593_4_16,series,gujarati,documentary,3180000,2001-03-14,5,16,4
cont_7_1_21,series,hindi,comedy,3660000,2000-08-26,1,21,1
cont_3191_8_16,series,english,action,3780000,2002-11-08,10,16,8
cont_206_5_15,series,english,drama,3360000,2013-05-26,7,15,5
cont_572_1_1,sports,hindi,cricket,4500000,2003-08-22,0,1,1
cont_954_1_1,sports,hindi,football,2820000,2008-11-13,0,1,1
cont_685_1_10,series,hindi,drama,2640000,2013-12-15,4,10,1
cont_2083_22_12,series,hindi,drama,2460000,2010-05-11,4,12,22
cont_2296_2_31,series,hindi,comedy,3240000,2011-07-19,1,31,2
cont_328_9_17,series,hindi,drama,3240000,2010-06-12,9,17,9
cont_2809_3_23,series,hindi,drama,4080000,2017-09-12,2,23,3
cont_29_2_8,series,telugu,drama,2880000,2011-08-30,5,8,2
cont_4059_5_6,series,hindi,comedy,3360000,2001-04-04,9,6,5
cont_1815_1_27,series,hindi,comedy,3660000,2000-06-18,5,27,1
cont_1287_20_7,series,english,drama,3660000,2015-10-19,5,7,20
cont_4857_10_11,series,tamil,comedy,3000000,2002-11-10,8,11,10
cont_3075_2_16,series,hindi,comedy,2580000,1998-11-03,1,16,2
cont_4533_1_1,series,hindi,comedy,3000000,1999-01-12,8,1,1
cont_1662_3_7,series,hindi,drama,3300000,2016-10-14,6,7,3
cont_1399_5_9,series,english,drama,4620000,1998-11-09,8,9,5
cont_3131_1_8,sports,english,tennis,3000000,1994-10-29,0,8,1
cont_2911_18_24,series,hindi,drama,3480000,2016-03-01,10,24,18
cont_1223_10_11,series,english,drama,3540000,2014-04-15,10,11,10
cont_2917_3_15,series,hindi,action,3780000,1995-11-06,10,15,3
cont_658_5_34,series,hindi,action,3900000,2000-09-01,3,34,5
cont_4426_1_30,series,english,horror,2940000,2001-07-09,2,30,1
cont_185_1_5,series,hindi,drama,3540000,2003-01-31,1,5,1
cont_1783_9_5,series,gujarati,sci-fi,5700000,2007-07-18,6,5,9
cont_4900_3_11,series,english,comedy,3540000,2011-08-05,7,11,3
cont_317_1_3,sports,english,cricket,9000000,1996-02-09,0,3,1
cont_3881_1_13,series,hindi,comedy,2760000,1995-01-31,8,13,1
cont_3018_3_37,series,malayalam,drama,2940000,2018-03-28,2,37,3
cont_4810_8_30,series,hindi,documentary,2820000,2016-07-06,7,30,8
cont_4393_7_4,series,gujarati,drama,3300000,1998-11-20,7,4,7
cont_1937_1_9,series,hindi,action,2700000,2006-10-15,7,9,1
cont_1873_11_22,series,english,comedy,3360000,2007-05-17,3,22,11
cont_4499_5_17,series,english,drama,3300000,2015-06-27,3,17,5
cont_3918_1_4,sports,hindi,cricket,4020000,2014-06-17,0,4,1
cont_1815_11_9,series,hindi,comedy,3420000,2019-08-02,5,9,11
cont_2725_9_5,series,hindi,drama,3240000,2003-08-15,2,5,9
cont_287_9_25,series,hindi,drama,4560000,2010-08-15,7,25,9
cont_3990_1_1,series,hindi,drama,5520000,1993-01-22,7,1,1
cont_3075_4_46,series,hindi,comedy,2880000,2003-02-10,1,46,4
cont_521,movies,gujarati,mystery,9300000,2011-05-14,8,0,0
cont_498_24_11,series,marathi,drama,4560000,2015-09-07,9,11,24
cont_4375_4_4,series,english,drama,3180000,2019-11-19,4,4,4
cont_1137_2_18,series,hindi,action,2940000,2018-02-09,7,18,2
cont_3320_4_14,series,malayalam,documentary,3000000,2018-03-09,1,14,4
cont_2151_16_19,series,hindi,drama,3600000,2018-07-01,5,19,16
cont_1798_1_45,series,hindi,drama,2820000,2004-03-04,10,45,1
cont_53_4_26,series,hindi,drama,3000000,2006-02-05,1,26,4
cont_2831_27_1,series,hindi,comedy,5640000,2020-08-09,8,1,27
cont_4036_3_2,series,malayalam,sci-fi,3240000,1991-07-12,10,2,3
cont_678_13_17,series,malayalam,comedy,3060000,2005-10-25,7,17,13
cont_666_5_18,series,hindi,drama,3180000,2013-01-03,2,18,5
cont_514_2_15,series,bengali,drama,3360000,2008-07-16,4,15,2
cont_2217_2_24,series,hindi,horror,3120000,1995-09-21,5,24,2
cont_4453_10_31,series,tamil,drama,3540000,2002-12-12,8,31,10
cont_3674_7_26,series,hindi,action,4740000,2008-04-04,4,26,7
cont_2104_7_2,series,english,drama,4980000,1994-05-23,10,2,7
cont_691_1_19,sports,hindi,football,3540000,2011-03-23,0,19,1
cont_3457_6_8,series,malayalam,drama,5040000,2005-10-30,3,8,6
cont_658_7_29,series,hindi,action,3900000,2003-05-01,3,29,7
cont_2308_24_2,series,malayalam,horror,3900000,2011-04-07,1,2,24
cont_3023_7_40,series,malayalam,drama,2580000,2018-05-15,7,40,7
cont_1856_1_7,series,bengali,drama,3960000,2000-12-17,9,7,1
cont_4086_1_44,series,hindi,action,4080000,1995-02-14,6,44,1
cont_210_3_20,series,english,drama,2880000,2014-12-08,8,20,3
cont_1234_8_14,series,english,action,3000000,2001-07-22,6,14,8
cont_3850_1_14,sports,hindi,cricket,2760000,2003-03-01,0,14,1
cont_3492_5_29,series,telugu,drama,3540000,1999-11-12,1,29,5
cont_148_2_29,series,marathi,action,3540000,2004-04-04,9,29,2
cont_2207_1_10,series,hindi,drama,5400000,1996-03-09,5,10,1
cont_3056_2_7,series,hindi,horror,3300000,1998-07-30,7,7,2
cont_53_7_15,series,hindi,drama,3360000,2009-07-31,1,15,7
cont_4717_1_2,series,marathi,horror,2940000,2006-06-26,5,2,1
cont_1935_1_5,series,hindi,comedy,3120000,1995-05-07,5,5,1
cont_4208_4_12,series,marathi,comedy,4260000,2012-03-22,5,12,4
cont_1598_1_2,series,telugu,drama,2640000,2010-04-24,6,2,1
cont_1485_5_34,series,marathi,drama,2520000,2015-02-09,7,34,5
cont_693_3_7,series,punjabi,drama,2580000,2003-04-04,4,7,3
cont_3708_8_30,series,english,drama,3960000,2009-09-08,5,30,8
cont_2185_9_2,series,english,drama,3060000,2011-06-24,4,2,9
cont_700_1_21,series,hindi,comedy,2880000,2018-09-23,5,21,1
cont_3894_1_10,series,malayalam,drama,3180000,2008-05-20,5,10,1
cont_3189_24_10,series,hindi,action,3180000,2013-02-09,4,10,24
cont_3674_8_32,series,hindi,action,4260000,2010-01-12,4,32,8
cont_1104_2_1,series,marathi,comedy,3840000,2018-10-20,9,1,2
cont_2298_3_27,series,hindi,comedy,4260000,1995-11-19,5,27,3
cont_1468_10_2,series,hindi,comedy,3780000,2011-10-14,4,2,10
cont_336_8_14,series,telugu,action,3240000,2020-05-07,6,14,8
cont_1417_1_4,sports,english,cricket,5100000,2020-03-09,0,4,1
cont_3229_7_34,series,telugu,drama,3180000,2011-01-11,8,34,7
cont_4518_2_6,series,telugu,comedy,2820000,2007-12-28,8,6,2
cont_1286_12_19,series,hindi,drama,3240000,2018-10-12,6,19,12
cont_2298_2_16,series,hindi,comedy,3960000,1994-05-16,5,16,2
cont_3598_5_3,series,marathi,drama,2760000,2002-02-23,10,3,5
cont_2782_6_19,series,tamil,drama,3720000,2010-08-11,4,19,6
cont_3990_4_46,series,hindi,drama,5520000,2000-06-14,7,46,4
cont_1843_4_2,series,hindi,drama,3420000,2013-11-06,5,2,4
cont_4468_2_3,series,hindi,drama,2880000,2004-10-21,2,3,2
cont_1038_5_23,series,hindi,drama,4020000,1998-05-02,6,23,5
cont_1072_36_8,series,tamil,drama,5160000,2008-04-24,7,8,36
cont_4427_2_15,series,hindi,action,5040000,2006-08-17,2,15,2
cont_4351_10_3,series,english,drama,4920000,2000-04-23,3,3,10
cont_3033_7_24,series,hindi,drama,3660000,2004-03-04,7,24,7
cont_1451_2_21,series,hindi,drama,3240000,2020-12-07,4,21,2
cont_2656_5_48,series,hindi,drama,2400000,2020-08-31,1,48,5
cont_4410_1_17,series,english,comedy,3960000,2011-05-02,6,17,1
cont_2392_30_14,series,hindi,comedy,2940000,2020-10-15,6,14,30
cont_4346_1_4,series,hindi,horror,3420000,2014-12-01,9,4,1
cont_2772_6_8,series,hindi,drama,2520000,2003-06-07,7,8,6
cont_3352_12_24,series,english,drama,2700000,2009-05-25,2,24,12
cont_2597_5_3,series,telugu,drama,3060000,1993-03-31,4,3,5
cont_4994_7_29,series,hindi,drama,3000000,1998-10-21,6,29,7
cont_2776_1_34,series,hindi,sci-fi,3000000,1993-02-15,3,34,1
cont_4900_4_11,series,english,comedy,3420000,2013-05-14,7,11,4
cont_4003_42_7,series,malayalam,drama,2640000,2016-08-09,5,7,42
cont_794_1_25,series,marathi,comedy,3240000,2008-03-03,5,25,1
cont_1846_5_5,series,hindi,drama,2940000,2004-10-01,2,5,5
cont_4308_2_25,series,oriya,drama,2820000,2019-03-05,10,25,2
cont_405_2_8,series,hindi,drama,3240000,2011-06-04,8,8,2
cont_488_3_4,series,hindi,sci-fi,2760000,2013-10-10,4,4,3
cont_3486_8_11,series,telugu,comedy,3180000,2019-03-06,7,11,8
cont_4149_8_40,series,telugu,drama,4440000,2014-07-29,6,40,8
cont_309_1_2,sports,hindi,football,4500000,2012-07-30,0,2,1
cont_3894_10_9,series,malayalam,drama,2640000,2014-11-09,5,9,10
cont_4379_5_26,series,hindi,drama,3000000,2013-04-26,2,26,5
cont_1252_24_10,series,hindi,drama,2880000,2007-02-20,7,10,24
cont_4806_1_5,series,hindi,drama,3480000,2010-04-18,9,5,1
cont_3708_15_3,series,english,drama,3780000,2019-08-11,5,3,15
cont_2918_5_13,series,marathi,comedy,3180000,2010-02-28,1,13,5
cont_1387_3_18,series,english,comedy,3240000,2012-01-02,8,18,3
cont_2044_1_1,sports,english,cricket,4020000,2003-08-01,0,1,1
cont_4528_6_19,series,telugu,action,2520000,2017-07-26,7,19,6
cont_1668_2_3,series,english,drama,3300000,2010-05-04,3,3,2
cont_678_6_3,series,malayalam,comedy,3180000,1997-04-22,7,3,6
cont_1676_1_4,sports,english,cricket,6120000,2003-04-07,0,4,1
cont_815_19_24,series,english,action,2940000,2013-02-26,3,24,19
cont_218_5_22,series,hindi,documentary,3180000,2020-08-06,5,22,5
cont_4393_12_10,series,gujarati,drama,3540000,2002-05-15,7,10,12
cont_4554_4_3,series,hindi,documentary,3120000,1996-12-27,7,3,4
cont_3598_10_2,series,marathi,drama,3120000,2006-07-20,10,2,10
cont_2892_1_12,sports,hindi,badminton,3900000,2018-09-16,0,12,1
cont_756_1_19,series,hindi,drama,3180000,1998-05-13,5,19,1
cont_3241_5_15,series,telugu,comedy,2760000,2008-12-01,9,15,5
cont_2194_3_20,series,english,drama,3300000,2001-01-18,5,20,3
